Prestazione,Atleta,Cat.,Anno,Società,Disciplina,Gara
8.45,BRINI Michele,SM,1998,BO014 ATL. IMOLA SACMI AVIS,60Hs H106,https://www.fidal.it/risultati/2024/REG33658/Risultati/Gara020.html
8.99,PANCALDI Emanuele,PM,2004,BO506 A.S.D. PONTEVECCHIO BOLOGNA,60Hs H106,https://www.fidal.it/risultati/2024/REG33658/Risultati/Gara020.html
9.29,ZOZZI Giacomo,PM,2004,FC038 EDERA ATL. FORLI,60Hs H106,https://www.fidal.it/risultati/2024/REG33658/Risultati/Gara020.html
9.49,RICCI Gabriele,PM,2004,BO014 ATL. IMOLA SACMI AVIS,60Hs H106,https://www.fidal.it/risultati/2024/REG33658/Risultati/Gara020.html
12.22,SHENELENKO Onysym,SM,1994,PE001 ASD U.S. ATERNO PESCARA,60Hs H106,https://www.fidal.it/risultati/2024/REG33658/Risultati/Gara020.html
8.39,BRINI Michele,SM,1998,BO014 ATL. IMOLA SACMI AVIS,60Hs H106,https://www.fidal.it/risultati/2024/REG33658/Risultati/Gara020.html
8.97,PANCALDI Emanuele,PM,2004,BO506 A.S.D. PONTEVECCHIO BOLOGNA,60Hs H106,https://www.fidal.it/risultati/2024/REG33658/Risultati/Gara020.html
9.24,ZOZZI Giacomo,PM,2004,FC038 EDERA ATL. FORLI,60Hs H106,https://www.fidal.it/risultati/2024/REG33658/Risultati/Gara020.html
10.03,SHENELENKO Onysym,SM,1994,PE001 ASD U.S. ATERNO PESCARA,60Hs H106,https://www.fidal.it/risultati/2024/REG33658/Risultati/Gara020.html
8.31,CAIANI Andrea,PM,2003,MI774 TEAM-A LOMBARDIA,60Hs H106,https://www.fidal.it/risultati/2024/REG33674/Risultati/Gara202.html
9.06,DOZIO Matteo,SM,1998,CO208 ATL. LECCO-COLOMBO COSTRUZ.,60Hs H106,https://www.fidal.it/risultati/2024/REG33674/Risultati/Gara202.html
9.45,MAGGIONI Giacomo,SM,2001,CO208 ATL. LECCO-COLOMBO COSTRUZ.,60Hs H106,https://www.fidal.it/risultati/2024/REG33674/Risultati/Gara202.html
8.29,MULAS Oliver,PM,2004,IM029 ASD MAURINA OLIO CARLI,60Hs H106,https://www.fidal.it/risultati/2024/REG33674/Risultati/Gara202.html
8.43,GATTO Andy,SM,1999,CN020 A.S.D. ATLETICA ROATA CHIUSANI,60Hs H106,https://www.fidal.it/risultati/2024/REG33674/Risultati/Gara202.html
8.54,GNOCCHI Edoardo,SM,2001,VA123 CUS INSUBRIA VARESE COMO,60Hs H106,https://www.fidal.it/risultati/2024/REG33674/Risultati/Gara202.html
8.69,CERRATO Andrea,SM,1999,CN001 A.S.D. ATL. FOSSANO '75,60Hs H106,https://www.fidal.it/risultati/2024/REG33674/Risultati/Gara202.html
8.64,CERRATO Andrea,SM,1999,CN001 A.S.D. ATL. FOSSANO '75,60Hs H106,https://www.fidal.it/risultati/2024/REG33674/Risultati/Gara202.html
8.99,DOZIO Matteo,SM,1998,CO208 ATL. LECCO-COLOMBO COSTRUZ.,60Hs H106,https://www.fidal.it/risultati/2024/REG33674/Risultati/Gara202.html
9.49,MAGGIONI Giacomo,SM,2001,CO208 ATL. LECCO-COLOMBO COSTRUZ.,60Hs H106,https://www.fidal.it/risultati/2024/REG33674/Risultati/Gara202.html
8.15,CAIANI Andrea,PM,2003,MI774 TEAM-A LOMBARDIA,60Hs H106,https://www.fidal.it/risultati/2024/REG33674/Risultati/Gara202.html
8.2,MULAS Oliver,PM,2004,IM029 ASD MAURINA OLIO CARLI,60Hs H106,https://www.fidal.it/risultati/2024/REG33674/Risultati/Gara202.html
8.51,GNOCCHI Edoardo,SM,2001,VA123 CUS INSUBRIA VARESE COMO,60Hs H106,https://www.fidal.it/risultati/2024/REG33674/Risultati/Gara202.html
8.52,GATTO Andy,SM,1999,CN020 A.S.D. ATLETICA ROATA CHIUSANI,60Hs H106,https://www.fidal.it/risultati/2024/REG33674/Risultati/Gara202.html
8.52,GOHO DISEYSSON Junior t,SM,2001,CO208 ATL. LECCO-COLOMBO COSTRUZ.,60Hs H106,https://www.fidal.it/risultati/2024/REG33673/Risultati/Gara202.html
8.81,BIANCHI Simone,PM,2004,BG003 ATL. BERGAMO 1959 ORIOCENTER,60Hs H106,https://www.fidal.it/risultati/2024/REG33673/Risultati/Gara202.html
8.84,GAVAZZENI Matteo,PM,2003,BG003 ATL. BERGAMO 1959 ORIOCENTER,60Hs H106,https://www.fidal.it/risultati/2024/REG33673/Risultati/Gara202.html
8.84,GOBBI Alessandro,PM,2003,TN109 U.S. QUERCIA DAO CONAD,60Hs H106,https://www.fidal.it/risultati/2024/REG33673/Risultati/Gara202.html
8.31,GOHO DISEYSSON Junior t,SM,2001,CO208 ATL. LECCO-COLOMBO COSTRUZ.,60Hs H106,https://www.fidal.it/risultati/2024/REG33673/Risultati/Gara202.html
8.70,GOBBI Alessandro,PM,2003,TN109 U.S. QUERCIA DAO CONAD,60Hs H106,https://www.fidal.it/risultati/2024/REG33673/Risultati/Gara202.html
8.87,BIANCHI Simone,PM,2004,BG003 ATL. BERGAMO 1959 ORIOCENTER,60Hs H106,https://www.fidal.it/risultati/2024/REG33673/Risultati/Gara202.html
8.42,DEL TORRE Riccardo,SM,1997,PN039 ATL BRUGNERA PN FRIULINTAGLI,60Hs H106,https://www.fidal.it/risultati/2024/REG33868/Risultati/Gara020.html
8.59,ZAVARESCO Giulio,PM,2004,UD030 ATLETICA MALIGNANI LIBERTAS UD,60Hs H106,https://www.fidal.it/risultati/2024/REG33868/Risultati/Gara020.html
8.80,CAMPIUTTI Jacopo,SM,1999,UD030 ATLETICA MALIGNANI LIBERTAS UD,60Hs H106,https://www.fidal.it/risultati/2024/REG33868/Risultati/Gara020.html
9.16,RAI Luca,SM,2000,TS044 TRIESTE ATLETICA,60Hs H106,https://www.fidal.it/risultati/2024/REG33868/Risultati/Gara020.html
8.31,DEL TORRE Riccardo,SM,1997,PN039 ATL BRUGNERA PN FRIULINTAGLI,60Hs H106,https://www.fidal.it/risultati/2024/REG33868/Risultati/Gara020.html
8.56,ZAVARESCO Giulio,PM,2004,UD030 ATLETICA MALIGNANI LIBERTAS UD,60Hs H106,https://www.fidal.it/risultati/2024/REG33868/Risultati/Gara020.html
8.81,CAMPIUTTI Jacopo,SM,1999,UD030 ATLETICA MALIGNANI LIBERTAS UD,60Hs H106,https://www.fidal.it/risultati/2024/REG33868/Risultati/Gara020.html
9.14,RAI Luca,SM,2000,TS044 TRIESTE ATLETICA,60Hs H106,https://www.fidal.it/risultati/2024/REG33868/Risultati/Gara020.html
9.18,PATERNOSTRO Riccardo,PM,2003,RM046 ASD ACSI ATLETICA CAMPIDOGLIO,60Hs H106,https://www.fidal.it/risultati/2024/REG33797/Risultati/Gara722.html
10.87,DE SANTIS CAPITANIO Cri,PM,2004,FR256 CUS CASSINO,60Hs H106,https://www.fidal.it/risultati/2024/REG33797/Risultati/Gara722.html
8.95,PATERNOSTRO Riccardo,PM,2003,RM046 ASD ACSI ATLETICA CAMPIDOGLIO,60Hs H106,https://www.fidal.it/risultati/2024/REG33797/Risultati/Gara722.html
19.72,DE SANTIS CAPITANIO Cri,PM,2004,FR256 CUS CASSINO,60Hs H106,https://www.fidal.it/risultati/2024/REG33797/Risultati/Gara722.html
8.34,COREN Simone,PM,2003,UD030 ATLETICA MALIGNANI LIBERTAS UD,60Hs H106,https://www.fidal.it/risultati/2024/REG33839/Risultati/Gara222.html
8.47,CECCHET Nicolas,PM,2003,BL009 ATHLETIC CLUB FIREX BELLUNO,60Hs H106,https://www.fidal.it/risultati/2024/REG33839/Risultati/Gara222.html
8.48,GATTO Andy,SM,1999,CN020 A.S.D. ATLETICA ROATA CHIUSANI,60Hs H106,https://www.fidal.it/risultati/2024/REG33839/Risultati/Gara222.html
8.51,DE PAOLI Federico,PM,2002,BL012 ANA ATL.FELTRE,60Hs H106,https://www.fidal.it/risultati/2024/REG33839/Risultati/Gara222.html
8.56,ZAMPESE Giacomo,SM,2000,VE471 ASD ATLETICA BIOTEKNA,60Hs H106,https://www.fidal.it/risultati/2024/REG33839/Risultati/Gara222.html
8.85,DAL POZZO Mattia,PM,2003,VE471 ASD ATLETICA BIOTEKNA,60Hs H106,https://www.fidal.it/risultati/2024/REG33839/Risultati/Gara222.html
8.35,BRESOLIN Manuel,PM,2004,TV354 TREVISATLETICA,60Hs H106,https://www.fidal.it/risultati/2024/REG33839/Risultati/Gara222.html
