Nome,Evento Generale,Warning Generale,Evento Specifico,Warning Specifico,Evento Specifico Vecchio
Salto in alto PENTATHLON INDOOR AM,alto,,Salto in alto,,Salto in alto
Salto in lungo PENTATHLON INDOOR AM,lungo,,Salto in lungo,,Salto in lungo
Salto in alto PENTATHLON INDOOR AF,alto,,Salto in alto,,Salto in alto
Salto in lungo PENTATHLON INDOOR AF,lungo,,Salto in lungo,,Salto in lungo
Salto in alto EPTATHLON IND. JPS M,alto,,Salto in alto,,Salto in alto
Salto con l'asta EPTATHLON IND. JPS M,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo EPTATHLON IND. JPS M,lungo,,Salto in lungo,,Salto in lungo
60 Hs H 84-8.00 EXTRA SM60,ostacoli,,60 Hs,non conosco l'altezza,50 Hs Master
400m  ALLIEVE,corsa piana,,400m,,400m
Staffetta 4x1 Giro  DONNE,staffetta,,4x200m,,4x200m
Staffetta 4x1 Giro  MASTER DONNE,staffetta,,4x200m,,4x200m
60 piani MASTER UOMINI,corsa piana,,60m,,60m
400m  ALLIEVI,corsa piana,,400m,,400m
500m  UOMINI (ad invito),corsa piana,,500m,,500m
Staffetta 4x1 Giro  UOMINI,staffetta,,4x200m,,4x200m
Staffetta 4x1 Giro  MASTER UOMINI,staffetta,,4x200m,,4x200m
Lungo MASTER DONNE,lungo,,Salto in lungo,,Salto in lungo
Triplo  UOMINI,triplo,,Salto triplo,,Salto triplo
60 Hs H84 Juniores + Promesse Donne,ostacoli,'+' sus,60 Hs,non conosco l'altezza,60 Hs h84-8.50
60 Hs H106 Promesse + Seniores Uomini,ostacoli,'+' sus,60 Hs,non conosco l'altezza,60 Hs h106-9.14
800m Cadetti,corsa piana,,800m,,800m
800m Ragazzi,corsa piana,,800m,,800m
60 piani Ragazzi 2009,corsa piana,,60m,,60m
60 Hs H 60 Ragazzi 2009,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h60-7.50
60 piani Ragazze 2009,corsa piana,,60m,,60m
60 Hs H 60 Ragazze 2009,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h60-7.50
60 piani Ragazzi 2010,corsa piana,,60m,,60m
60 Hs H 60 Ragazzi 2010,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h60-7.50
60 piani Ragazze 2010,corsa piana,,60m,,60m
60 Hs H 60 Ragazze 2010,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h60-7.50
60 Hs H 76-8.50Extra Allieve,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
Salto in alto Ragazzi 2009,alto,,Salto in alto,,Salto in alto
Salto in lungo Ragazzi 2009,lungo,,Salto in lungo,,Salto in lungo
Salto in alto Ragazze 2009,alto,,Salto in alto,,Salto in alto
Salto in lungo Ragazze 2009,lungo,,Salto in lungo,,Salto in lungo
Salto in alto Ragazzi 2010,alto,,Salto in alto,,Salto in alto
Salto in lungo  Ragazzi 2010,lungo,,Salto in lungo,,Salto in lungo
Salto in alto Ragazze 2010,alto,,Salto in alto,,Salto in alto
Salto in lungo Ragazze 2010,lungo,,Salto in lungo,,Salto in lungo
60 piani Donne - 1^ Prova,corsa piana,,60m,,60m
60 piani Donne - 2^ Prova,corsa piana,,60m,,60m
60 piani Uomini - 1^ Prova,corsa piana,,60m,,60m
60 piani Uomini - 2^ Prova,corsa piana,,60m,,60m
800m Cadette,corsa piana,,800m,,800m
800m Ragazze,corsa piana,,800m,,800m
Staffetta 4X2 giri  UOMINI,staffetta,,4x400m,,4x400m
60 Hs H 100 Juniores U,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h100-9.14
50 Hs H84 CADETTI,ostacoli,,50 Hs,non conosco l'altezza,50 Hs h84-8.50
50 Hs H76 CF CADETTE,ostacoli,,50 Hs,non conosco l'altezza,50 Hs h76-8.00
Salto con l'asta/PV Donne - CAMP. REG.,asta,,Salto con l'asta,,Salto con l’asta
Salto con l'asta/PV Uomini - CAMP. REG.,asta,,Salto con l'asta,,Salto con l’asta
Salto con l'asta Uomini+Donne+Cadetti/e,asta,,Salto con l'asta,,Salto con l’asta
60m FINALE U,corsa piana,,60m,,60m
Marcia 3000m UOMINI,marcia,,Marcia 3000m,,Marcia 3000m
60m FINALE D,corsa piana,,60m,,60m
300 piani CADETTI (U16),corsa piana,,300m,,300m
Marcia 2000m CADETTI (U16),marcia,,Marcia 2000m,,Marcia 2000m
60 Hs H 76-8.00 CF CADETTE (U16),ostacoli,,60 Hs,non conosco l'altezza,60 Hs h76-8.00
60 piani ESORDIENTI M 10,corsa piana,,60m,,60m
600 metri ESORDIENTI M 10,corsa piana,,600m,,600m
60 piani ESORDIENTI F 10,corsa piana,,60m,,60m
600 metri ESORDIENTI F 10,corsa piana,,600m,,600m
Marcia 1000m ESORDIENTI F 10,marcia,,Marcia 1000m,,Marcia 1000m
1000 metri RAGAZZI (U14),corsa piana,,1000m,,1000m
1000 metri RAGAZZE (U14),corsa piana,,1000m,,1000m
60Hs H106 EPTATHLON UOMINI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h106-9.14
60Hs H100 EPTATHLON JUNIOR UOMINI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h100-9.14
60Hs H 84 PENTATHLON DONNE,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
60Hs H76 PENTATHLON ALLIEVE,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h76-8.50
60Hs H91 PENTATHLON ALLIEVI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h91-9.14
400m  DONNE (EXTRA),corsa piana,,400m,,400m
800m  UOMINI (EXTRA),corsa piana,,800m,,800m
Alto PENTATHLON DONNE,alto,,Salto in alto,,Salto in alto
60m JUN/PRO/SEN MASCHILI EPTATHLON,corsa piana,,60m,,60m
1000m JUN/PRO/SEN MASCHILI EPTATHLON,corsa piana,,1000m,,1000m
60 Hs H 106 J/P/S MASCHILI EPTATHLON,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h106-9.14
60m JUN. MASCHILI EPTATHLON,corsa piana,,60m,,60m
1000m JUN. MASCHILI EPTATHLON,corsa piana,,1000m,,1000m
60 Hs H 100 JUN. MASCHILI EPTATHLON,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h100-9.14
60 Hs H 84-8.5 J/P/S FEMMINILI PENTATHON,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
Salto in alto J/P/S MASCHILI EPTATHLON,alto,,Salto in alto,,Salto in alto
Salto con asta J/P/S MASCHILI EPTATHLON,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo J/P/S MASCHILI EPTATHLON,lungo,,Salto in lungo,,Salto in lungo
Salto in alto JUN MASCHILI EPTATHLON,alto,,Salto in alto,,Salto in alto
Salto con l'asta JUN MASCHILI EPTATHLON,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo JUN MASCHILI EPTATHLON,lungo,,Salto in lungo,,Salto in lungo
Salto in alto J/P/S FEMMINILI PENTATHLON,alto,,Salto in alto,,Salto in alto
Salto  lungo J/P/S FEMMINILI PENTATHLON,lungo,,Salto in lungo,,Salto in lungo
60 Hs H 91-9.14 Extra Allievi,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h91-9.14
60 Hs H 76-8.50 Extra Allieve,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
60 Hs H 84-8.50 Extra Donne,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
Salto con l'asta Extra Allievi,asta,,Salto con l'asta,,Salto con l’asta
Salto triplo Extra Allievi,alto,,Salto in alto,,Salto triplo
Salto con l'asta Extra Allieve,asta,,Salto con l'asta,,Salto con l’asta
Salto con l'asta Extra Donne,asta,,Salto con l'asta,,Salto con l’asta
60m  CADETTE,corsa piana,,60m,,60m
200m  CADETTE,corsa piana,,200m,,200m
1000m  CADETTE (OPEN),corsa piana,,1000m,,1000m
Marcia 3000m  CADETTE (OPEN),marcia,,Marcia 3000m,,Marcia 3000m
60m  CADETTI,corsa piana,,60m,,60m
200m  CADETTI,corsa piana,,200m,,200m
1000m  CADETTI (OPEN),corsa piana,,1000m,,1000m
Marcia 3000m  CADETTI (OPEN),marcia,,Marcia 3000m,,Marcia 3000m
800m  DONNE (EXTRA),corsa piana,,800m,,800m
1500m  UOMINI (EXTRA),corsa piana,,1500m,,1500m
3000m  UOMINI (EXTRA),corsa piana,,3000m,,3000m
Alto  CADETTE,alto,,Salto in alto,,Salto in alto
Asta  CADETTE,asta,,Salto con l'asta,,Salto con l’asta
Lungo CADETTE,lungo,,Salto in lungo,,Salto in lungo
Triplo  CADETTE,triplo,,Salto triplo,,Salto triplo
Alto  CADETTI,alto,,Salto in alto,,Salto in alto
Asta  CADETTI,asta,,Salto con l'asta,,Salto con l’asta
Lungo  CADETTI,lungo,,Salto in lungo,,Salto in lungo
Triplo  CADETTI,triplo,,Salto triplo,,Salto triplo
60Hs H76  TETRATHLON CADETTE,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h76-8.00
60Hs H84  TETRATHLON CADETTI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
600m  TETRATHLON CADETTI,corsa piana,,600m,,600m
Staffetta 4x1giro  CADETTE,staffetta,,4x200m,,4x200m
Staffetta 4x1giro  CADETTI,staffetta,,4x200m,,4x200m
60m BANCARI - DONNE,corsa piana,,60m,,60m
200m BANCARI - DONNE,corsa piana,,200m,,200m
800m BANCARI - DONNE,corsa piana,,800m,,800m
3000m BANCARI - DONNE,corsa piana,,3000m,,3000m
Staffetta 4x1giro BANCARI - DONNE,staffetta,,4x200m,,4x200m
60m BANCARI - UOMINI,corsa piana,,60m,,60m
200m BANCARI - UOMINI,corsa piana,,200m,,200m
800m BANCARI - UOMINI,corsa piana,,800m,,800m
3000m BANCARI - UOMINI,corsa piana,,3000m,,3000m
Staffetta 4x1giro BANCARI - UOMINI,staffetta,,4x200m,,4x200m
Lungo  TETRATHLON CADETTE,lungo,,Salto in lungo,,Salto in lungo
Lungo  TETRATHLON CADETTI,lungo,,Salto in lungo,,Salto in lungo
Alto BANCARI - DONNE,alto,,Salto in alto,,Salto in alto
Lungo BANCARI - DONNE,lungo,,Salto in lungo,,Salto in lungo
Alto BANCARI - UOMINI,alto,,Salto in alto,,Salto in alto
Lungo BANCARI - UOMINI,lungo,,Salto in lungo,,Salto in lungo
Staffetta 4x200  MASTER DONNE,staffetta,,4x200m,,4x200m
Staffetta 4x200  MASTER UOMINI,staffetta,,4x200m,,4x200m
50m DONNE,corsa piana,,50m,,50m
600m CADETTE,corsa piana,,600m,,600m
160m ESORDIENTI F10,corsa piana,,160m,,160m
Alto RAGAZZI,alto,,Salto in alto,,Salto in alto
Alto RAGAZZE,alto,,Salto in alto,,Salto in alto
300 piani UOMINI,corsa piana,,300m,,300m
600 metri UOMINI,corsa piana,,600m,,600m
300 piani DONNE,corsa piana,,300m,,300m
600 metri DONNE,corsa piana,,600m,,600m
200 metri RAGAZZI (U14),corsa piana,,200m,,200m
200 metri RAGAZZE (U14),corsa piana,,200m,,200m
60 Hs H 76-8.00 TETRATHLON-CADETTE,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h76-8.00
Salto in lungo TETRATHLON-CADETTE,lungo,,Salto in lungo,,Salto in lungo
Giavellotto Gr400 TETRATHLON-CADETTE,giavellotto,,Giavellotto 400g,,Giavellotto 400g
Asta Uomini - Gr.1,asta,,Salto con l'asta,,Salto con l’asta
Asta Donne - Gr.1,asta,,Salto con l'asta,,Salto con l’asta
Asta Uomini - Gr. 2,asta,,Salto con l'asta,,Salto con l’asta
Asta TOP 5 M,asta,,Salto con l'asta,,Salto con l’asta
Asta TOP 5 F,asta,,Salto con l'asta,,Salto con l’asta
800 metri Ragazzi,corsa piana,,800m,,800m
800 metri Ragazze,corsa piana,,800m,,800m
60 piani Esordienti M 10,corsa piana,,60m,,60m
200 metri Esordienti M 10,corsa piana,,200m,,200m
60 piani Esordienti F 10,corsa piana,,60m,,60m
200 metri Esordienti F 10,corsa piana,,200m,,200m
200 metri Assoluti M,corsa piana,,200m,,200m
800 metri Assoluti M,corsa piana,,800m,,800m
50 metri Assoluti M,corsa piana,,50m,,50m
200 metri Assoluti F,corsa piana,,200m,,200m
800 metri Assoluti F,corsa piana,,800m,,800m
50m Finale A Assoluti M,corsa piana,,50m,,50m
50m Finale B Assoluti M,corsa piana,,50m,,50m
50 metri Esordienti F 10,corsa piana,,50m,,50m
50m Esordienti M 5,corsa piana,,50m,,50m
50m Esordienti F5,corsa piana,,50m,,50m
50m Esordienti M 8,corsa piana,,50m,,50m
50m Esordienti F 8,corsa piana,,50m,,50m
50m TRIATHLON EM10 con Alto,alto,,Salto in alto,,50m
50 Hs H50 TRIATHLON EM10 con Alto,ostacoli,2 if,50 Hs,non conosco l'altezza,50 Hs h50-7.00
50m TRIATHLON EF10 con Alto,alto,,Salto in alto,,50m
50 Hs H50 TRIATHLON EF10 con Alto,ostacoli,2 if,50 Hs,non conosco l'altezza,50 Hs h50-7.00
50m TRIATHLON B EM10 con Vortex,vortex,,Vortex,,50m
50 Hs H50 TRIATHLON B EM10 con Vortex,ostacoli,2 if,50 Hs,non conosco l'altezza,50 Hs h50-7.00
50m TRIATHLON B EF10 con Vortex,vortex,,Vortex,,50m
50 Hs H50 TRIATHLON EF10 con Vortex,ostacoli,2 if,50 Hs,non conosco l'altezza,50 Hs h50-7.00
40 ostacoli Esordienti M 8,ostacoli,,40 Hs,non conosco l'altezza,40 Hs EM
50m Esordienti F 5,corsa piana,,50m,,50m
40 ostacoli Esordienti F 8,ostacoli,,40 Hs,non conosco l'altezza,40 Hs EF
Salto in alto/HJ TRIATHLON EM10,alto,,Salto in alto,,Salto in alto
Salto in alto/HJ TRIATHLON EF10,alto,,Salto in alto,,Salto in alto
50 metri  EF5,corsa piana,,50m,,50m
50 metri  EM8,corsa piana,,50m,,50m
50 metri  EF8,corsa piana,,50m,,50m
50 metri  EM10,corsa piana,,50m,,50m
50 metri  EF10,corsa piana,,50m,,50m
800 metri Juniores Uomini,corsa piana,,800m,,800m
Peso/SP Kg 6.000 Juniores Uomini,peso,,Peso 6.000Kg,,Peso Kg 6.000
Modello 1sta 4 gennaio,altro,,altro,,altro
Modello 1sta 5 gennaio,altro,,altro,,altro
Modello 1sta sabato,altro,,altro,,altro
Modello 1sta domenica,altro,,altro,,altro
Salto con l'asta UOMINI,asta,,Salto con l'asta,,Salto con l’asta
60 Hs H 106 PROMESSE UOMINI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h106-9.14
60 Hs H 84-8.50 JUNIORES/PROMESSE DONNE,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
Risutltati completi,altro,,altro,,altro
RISULTATI COMPLETI,altro,,altro,,altro
3000m Allievi,corsa piana,,3000m,,3000m
3000m Juniores Uomini,corsa piana,,3000m,,3000m
Staff. 4X160 Uomini,staffetta,,4x160m,,4x160m
Staff. 4X160 Donne,staffetta,,4x160m,,4x160m
1 Sta 22 Gennaio 2022,altro,,altro,,altro
1 Sta 23 Gennaio 2022,altro,,altro,,altro
60m UOMINI FINALI,corsa piana,,60m,,60m
60m DONNE FINALI,corsa piana,,60m,,60m
60 piani FEMMINILE GRUPPO A,corsa piana,,60m,,60m
60 piani FEMMINILE GRUPPO B,corsa piana,,60m,,60m
60 piani MASCHILE GRUPPO A,corsa piana,,60m,,60m
60 piani MASCHILE GRUPPO B,corsa piana,,60m,,60m
60 piani MASCHILE FINALE A,corsa piana,,60m,,60m
60 piani MASCHILE FINALE B,corsa piana,,60m,,60m
60 piani MASCHILE FINALE C,corsa piana,,60m,,60m
60 piani MASCHILE FINALE D,corsa piana,,60m,,60m
60 piani MASCHILE FINALE E,corsa piana,,60m,,60m
60 piani MASCHILE FINALE FUORI REG A,corsa piana,,60m,,60m
60 piani MASCHILE FINALE FUORI REG B,corsa piana,,60m,,60m
60 piani MASCHILE FINALE FUORI REG C,corsa piana,,60m,,60m
60 piani FEMMINILE FINALE FUORI REG A,corsa piana,,60m,,60m
60 piani FEMMINILE FINALE A,corsa piana,,60m,,60m
60 piani FEMMINILE FINALE B,corsa piana,,60m,,60m
60 piani FEMMINILE FINALE C,corsa piana,,60m,,60m
60 piani FEMMINILE FINALE D,corsa piana,,60m,,60m
60 piani FEMMINILE FINALE E,corsa piana,,60m,,60m
Statistica partecipanti 29 gennaio,altro,,altro,,altro
Statistica partecipanti 30 gennaio,altro,,altro,,altro
Tutti i risultati maschili e femminili,altro,,altro,,altro
Risultati excel con 60 piani aggregati,altro,,altro,,altro
Peso kg 4.000 Cadetti,peso,,Peso 4.000Kg,,Peso Kg 4.000
Peso kg 3.000 Cadette,peso,,Peso 3.000Kg,,Peso Kg 3.000
60 Hs - 5 hs H 60 Ragazzi,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h60-7.50
Peso gomma kg 2.000 Ragazzi,peso,,Peso 2.000Kg,,Peso gomma 2Kg
60 Hs - 5 hs H 60 Ragazze,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h60-7.50
Peso gomma kg 2.000 Ragazze,peso,,Peso 2.000Kg,,Peso gomma 2Kg
1/sta 29 Gennaio 2022,altro,,altro,,altro
1/sta 30 Gennaio 2022,altro,,altro,,altro
Salto in lungo SM40 UOMINI,lungo,,Salto in lungo,,Salto in lungo
Salto triplo SM55 UOMINI,alto,,Salto in alto,,Salto triplo
Salto in lungo SM55 UOMINI,lungo,,Salto in lungo,,Salto in lungo
Salto in lungo SM60 UOMINI,lungo,,Salto in lungo,,Salto in lungo
Salto triplo SM60 UOMINI,alto,,Salto in alto,,Salto triplo
Salto in lungo SF45 DONNE,lungo,,Salto in lungo,,Salto in lungo
Salto triplo SF40 DONNE,alto,,Salto in alto,,Salto triplo
60m SM35 UOMINI,corsa piana,,60m,,60m
60m SM40 UOMINI,corsa piana,,60m,,60m
60m SM45 UOMINI,corsa piana,,60m,,60m
60m SM55 UOMINI,corsa piana,,60m,,60m
60m SM60 UOMINI,corsa piana,,60m,,60m
60m SM65 UOMINI,corsa piana,,60m,,60m
60m SM70 UOMINI,corsa piana,,60m,,60m
60m SM75 UOMINI,corsa piana,,60m,,60m
60m SF40 DONNE,corsa piana,,60m,,60m
60m SF45 DONNE,corsa piana,,60m,,60m
60m SF55 DONNE,corsa piana,,60m,,60m
60m SF60 DONNE,corsa piana,,60m,,60m
60m FINALI UOMINI,corsa piana,,60m,,60m
60m FINALI DONNE,corsa piana,,60m,,60m
Peso kg 7.260 PM/SM,peso,,Peso 7.260Kg,,Peso Kg 7.260
Peso kg 6.000 JM,peso,,Peso 6.000Kg,,Peso Kg 6.000
Peso kg 5.000 AM,peso,,Peso 5.000Kg,,Peso Kg 5.000
Peso kg 4.000 JF/PF/SF,peso,,Peso 4.000Kg,,Peso Kg 4.000
Peso kg 3.000 AF,peso,,Peso 3.000Kg,,Peso Kg 3.000
1/sta 19 Gennaio 2022,altro,,altro,,altro
600m Ragazzi,corsa piana,,600m,,600m
600m Ragazze,corsa piana,,600m,,600m
1/sta 20 Gennaio 2022,altro,,altro,,altro
Peso kg 4.000 Tetrathlon Cadetti,peso,,Peso 4.000Kg,,Peso Kg 4.000
600m Tetrathlon Cadette,corsa piana,,600m,,600m
Peso kg 3.000 Tetrathlon Cadette,peso,,Peso 3.000Kg,,Peso Kg 3.000
TRIATHLON RM,prove multiple,,prove multiple,,Triathlon indoor RM
Classifica `Trofeo di Societa'` FIDAL - MASCHILE,altro,,altro,,altro
Classifica `Trofeo di Societa'` FIDAL -  FEMMINILE,altro,,altro,,altro
Classifica `Trofeo di Societa'` FIDAL - M+F,altro,,altro,,altro
Risultati per gara RAGAZZI,altro,,altro,,altro
Risultati per gara RAGAZZE,altro,,altro,,altro
Salto in alto  Cadette,alto,,Salto in alto,,Salto in alto
60 piani AJPS DONNE,corsa piana,,60m,,60m
Salto in alto  AJPS DONNE,alto,,Salto in alto,,Salto in alto
Salto in lungo AJPS DONNE,lungo,,Salto in lungo,,Salto in lungo
60 piani AJPS UOMINI,corsa piana,,60m,,60m
Salto in alto AJPS UOMINI,alto,,Salto in alto,,Salto in alto
Salto in lungo AJPS UOMINI,lungo,,Salto in lungo,,Salto in lungo
60 piani CF,corsa piana,,60m,,60m
60 Hs CF,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h76-8.00
60 piani CM,corsa piana,,60m,,60m
60 Hs CM,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
Modello 1 sta,altro,,altro,,altro
Salto in alto WOMEN,alto,,Salto in alto,,Salto in alto
Salto in alto MEN,alto,,Salto in alto,,Salto in alto
1/sta 5 marzo 2022,altro,,altro,,altro
1/sta 6 Marzo 2022,altro,,altro,,altro
Modello 1 STA,altro,,altro,,altro
Modello 1-STA 18/12/2022,altro,,altro,,altro
Asta DONNE,asta,,Salto con l'asta,,Salto con l’asta
Peso MASTER DONNE,peso,,Peso Master,,Peso Master
Peso kg 5 ALLIEVI,peso,,Peso 5.000Kg,,Peso Kg 5.000
Peso kg 6 JUNIOR UOMINI,peso,,Peso 6.000Kg,,Peso Kg 6.000
Peso kg 7.260 UOMINI,peso,,Peso 7.260Kg,,Peso Kg 7.260
3000 metri ASSOLUTI UOMINI,corsa piana,,3000m,,3000m
60 Hs H 106 ASSOLUTI UOMINI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h106-9.14
