Prest.,Vento,Atleta,Anno,Società,Città,Data
8.90,-0.5,FONTANA Stefania,94,ANA ATL.FELTRE,Mestre,08/05/2010
10.32,+0.4,FONTANA Stefania,94,ANA ATL.FELTRE,Bastia Umbra,11/06/2011
9.94,+0.2,FONTANA Stefania,94,ANA ATL.FELTRE,Vicenza,21/05/2011
9.92,+0.6,FONTANA Stefania,94,ANA ATL.FELTRE,Rovigo,07/05/2011
10.55,-0.2,FONTANA Stefania,94,ANA ATL.FELTRE,Vicenza,19/05/2012
9.74,+1.0,FONTANA Stefania,94,ANA ATL.FELTRE,Marcon,06/05/2012
8.83,-0.4,FIAMMENGO Angelica,95,ANA ATL.FELTRE,Vicenza,26/05/2012
8.90,-0.3,CANOVA Aurora,01,ANA ATL.FELTRE,Vicenza,13/05/2017
10.12,-0.7,MAHJOUBI Gaia,04,ANA ATL.FELTRE,Cles,25/09/2021
9.89,+0.5,MAHJOUBI Gaia,04,ANA ATL.FELTRE,San Biagio Di Callalta,01/05/2021
10.10,+0.2,COLUSSI Ilary,06,ANA ATL.FELTRE,Vittorio Veneto,28/05/2022
10.05,+1.1,COLUSSI Ilary,06,ANA ATL.FELTRE,Caorle,21/05/2022
9.70,+0.7,COLUSSI Ilary,06,ANA ATL.FELTRE,Verona,07/05/2022
10.34,+0.4,ANDREOLI Vittoria,07,ANA ATL.FELTRE,San Biagio Di Callalta,29/04/2023
10.31,+1.1,COLUSSI Ilary,06,ANA ATL.FELTRE,Borgo Valbelluna,06/05/2023
9.85,-0.8,ANDREOLI Vittoria,07,ANA ATL.FELTRE,Borgo Valbelluna,06/05/2023
9.76,-0.8,COLUSSI Ilary,06,ANA ATL.FELTRE,San Biagio Di Callalta,29/04/2023
8.90,-0.5,FONTANA Stefania,94,ANA ATL.FELTRE,Mestre,08/05/2010
10.32,+0.4,FONTANA Stefania,94,ANA ATL.FELTRE,Bastia Umbra,11/06/2011
9.94,+0.2,FONTANA Stefania,94,ANA ATL.FELTRE,Vicenza,21/05/2011
9.92,+0.6,FONTANA Stefania,94,ANA ATL.FELTRE,Rovigo,07/05/2011
10.55,-0.2,FONTANA Stefania,94,ANA ATL.FELTRE,Vicenza,19/05/2012
9.74,+1.0,FONTANA Stefania,94,ANA ATL.FELTRE,Marcon,06/05/2012
8.83,-0.4,FIAMMENGO Angelica,95,ANA ATL.FELTRE,Vicenza,26/05/2012
8.90,-0.3,CANOVA Aurora,01,ANA ATL.FELTRE,Vicenza,13/05/2017
10.12,-0.7,MAHJOUBI Gaia,04,ANA ATL.FELTRE,Cles,25/09/2021
9.89,+0.5,MAHJOUBI Gaia,04,ANA ATL.FELTRE,San Biagio Di Callalta,01/05/2021
10.10,+0.2,COLUSSI Ilary,06,ANA ATL.FELTRE,Vittorio Veneto,28/05/2022
10.05,+1.1,COLUSSI Ilary,06,ANA ATL.FELTRE,Caorle,21/05/2022
9.70,+0.7,COLUSSI Ilary,06,ANA ATL.FELTRE,Verona,07/05/2022
10.54,+0.4,COLUSSI Ilary,06,ANA ATL.FELTRE,Pordenone,30/09/2023
10.34,+0.4,ANDREOLI Vittoria,07,ANA ATL.FELTRE,San Biagio Di Callalta,29/04/2023
10.31,+1.1,COLUSSI Ilary,06,ANA ATL.FELTRE,Borgo Valbelluna,06/05/2023
10.24,-0.2,ANDREOLI Vittoria,07,ANA ATL.FELTRE,Pordenone,30/09/2023
9.85,-0.8,ANDREOLI Vittoria,07,ANA ATL.FELTRE,Borgo Valbelluna,06/05/2023
9.76,-0.8,COLUSSI Ilary,06,ANA ATL.FELTRE,San Biagio Di Callalta,29/04/2023
