Prest.,Vento,Atleta,Anno,Società,Città,Data
5.12,-0.2,SCOPEL Gioia,02,ANA ATL.FELTRE,Udine,08/08/2020
5.05,+2.1,DE PAOLI Camilla,05,ANA ATL.FELTRE,Cles,10/09/2022
5.05,+1.4,FONTANA Stefania,94,ANA ATL.FELTRE,Trento,13/05/2012
5.03,+1.7,SCHENAL Anna,04,ANA ATL.FELTRE,Treviso,26/07/2020
4.91,-0.1,MARAZZINI Giulia,98,ANA ATL.FELTRE,Vicenza,03/05/2015
4.77,-0.1,MAHJOUBI Gaia,04,ANA ATL.FELTRE,Padova,23/05/2021
4.77,+2.0,ZANON Gaia,02,ANA ATL.FELTRE,Vicenza,02/06/2019
4.73,+0.6,ANDREOLI Vittoria,07,ANA ATL.FELTRE,Padova,01/05/2023
4.73,+1.9,COLUSSI Ilary,06,ANA ATL.FELTRE,Padova,01/05/2023
4.72,,FACCHIN Alessia,93,ANA ATL.FELTRE,Belluno,10/04/2010
4.68,+1.3,DE RIZ Chiara,05,ANA ATL.FELTRE,Caorle,22/05/2022
4.63,+0.0,ZANCANARO Monica,85,ANA ATL.FELTRE,Paderno Di Ponzano Veneto,10/06/2016
4.61,+0.6,TAMBURLIN Anna,00,ANA ATL.FELTRE,Agordo,22/05/2016
4.41,+1.5,STRAPPAZZON Irene,96,ANA ATL.FELTRE,Padova,23/05/2013
4.39,+0.2,D'ALBERTO Elena,00,ANA ATL.FELTRE,Vicenza,14/05/2017
4.29,+2.9,RAVEANE Giorgia,02,ANA ATL.FELTRE,San Biagio Di Callalta,13/05/2018
4.25,+1.9,DE BARBA Elena,04,ANA ATL.FELTRE,Treviso,26/07/2020
4.19,+1.0,FIAMMENGO Angelica,95,ANA ATL.FELTRE,Vicenza,27/05/2012
4.19,,PARTELI Elena,00,ANA ATL.FELTRE,Feltre,14/10/2017
4.13,+2.5,DAL ZOTTO Benedetta,05,ANA ATL.FELTRE,Vicenza,09/05/2021
4.02,+0.8,MALACARNE Veronica,99,ANA ATL.FELTRE,Vicenza,03/05/2015
3.99,+1.2,SPADA Francesca,05,ANA ATL.FELTRE,Padova,24/04/2021
3.70,+1.3,PIOLO Carlotta,06,ANA ATL.FELTRE,Verona,08/05/2022
3.70,-0.4,ZATTA Alessia,93,ANA ATL.FELTRE,Rosa,24/05/2009
